,新聞,類別
0,（中央社記者江今葉華盛頓8日專電）美國國務卿蓬佩奧今天在華府接見香港壹傳媒集團創辦人黎智英，雙方討論了近來引發香港大規模示威遊行的逃犯條例修訂案，以及香港在「一國兩制」框架下的自治地位。國務院以發言人歐塔加斯（Morgan Ortagus）名義發出新聞稿指出，蓬佩奧（Mike Pompeo）今天在華府接見黎智英，兩人討論香港逃犯條例發展，以及香港在一國兩制框架下的自治地位。香港特區政府提出的逃犯條例修訂案引發香港居民高度擔憂，6月以來舉辦多次大規模遊行示威，並與警方爆發衝突，國際對香港局勢發展高度關注。香港歌手何韻詩今天也在聯合國人權理事會對「反送中」事件發言，雖遭中國打斷兩次，但她指出一國兩制幾近死亡，呼籲人權理事會保護香港民眾，將不尊重人權的中國除名。（編輯：林治平）1080708,兩岸
1,（中央社台北8日電）以力挺中共著稱、外號「大五毛」的中國網路名人染香，日前企圖從北京首都機場離境前往澳洲時不但被攔下，7日更被帶走問話，還被沒收3部手機，截至發稿為止仍無法確認她的下落。本名袁小靚的染香，今年1月中旬與入籍澳洲的作家夫婿楊恆均自廣州入境中國。但兩人一入境，楊恆均就被公安人員帶走，而染香的行動也受到限制。4月間，染香一度在上海錄製影片哭訴兩人的遭遇，並要外界給予關心。但影片經澳洲媒體披露後，卻引來不少嘲弄與訕笑，紛紛給予她「早知如此，何必當初」、「天道報應，屢試不爽」等回應。綜合澳洲媒體報導，楊恆均的友人、雪梨科技大學教授馮崇義對此表示，中國方面先前曾向染香明確表示，如果她接受外媒訪問，將受到懲罰。楊家委任的澳洲律師史塔瑞（Rob Stary）則表示，染香入境中國近6個月以來，澳洲方面未能說服中國方面允許染香離境，是澳洲政府「沒盡到責任」。如今染香想要返回澳洲被拒，澳洲政府應設法介入。至於中澳兩國官方，澳洲外交部長潘恩（Marise Payne）今天曾針對楊恆均案發表聲明，但並未提到染香出境遭拒一事。中國外交部發言人耿爽今天則聲稱，對染香出境被拒「不了解情況」，僅重申「澳大利亞籍人員」楊軍（楊恆均的原名）因涉嫌從事危害中國「國家安全犯罪活動」，北京市國家安全局對其採取強制措施審查，目前「正在偵辦過程中」。染香以強烈挺中共的立場，於2000年代成為網路名人，更常出言攻擊批評中共的立場相左人士，使她有了「知名五毛」、「大五毛」的外號。但她不但不以為意，2012年更曾公開自稱「五毛黨主席」，並以屬於「五毛黨」為傲，但也讓她的評價十分兩極。至於楊恆均，曾任職中共外交部，並曾派駐香港。但近年來改以作家身分在海外活動，且轉而發表同情中國民運的文章，並自稱「民主小販」。但也因立場轉變過大，其真實身分引發外界揣測，更曾被指為「海外特務」。（編輯：邱國強）1080708,兩岸
2,（中央社記者張謙香港8日電）香港藝人何韻詩今天在瑞士日內瓦聯合國人權理事會上講述香港問題。她向中央社記者表示，這是一次很重要的場合，讓她能向國際社會提出香港問題。何韻詩獲聯合國觀察（UN Watch）邀請，台北時間今晚8時左右在人權理事會上，以90秒的時間講述香港問題。何韻詩晚間接受中央社記者長途電話訪問時說，這是很重要的時刻，因為香港才剛經歷過1個月的「反送中」運動，而港府至今沒有聆聽港人的聲音。她表示，這次演說讓她有機會向國際講述當前香港問題，雖然只是90秒，但很重要。雖然香港實施「一國兩制」，但外國人未必清楚當前香港的「兩制」問題。何韻詩說，她在發言提到了兩個問題，一是聯合國有無召開緊急會議來保護香港人，二是中國是破壞人權的國家，為什麼可以成為人權委員會的成員。她的演說從香港爆發「反送中」運動說起，接著後提到中國方面沒有兌現對香港「一國兩制」的承諾，甚至破壞「一國兩制」。何韻詩並證實，在她演說時，中方代表曾兩度試圖強令大會停止她的演說，但未得逞。6月初香港爆發反對修訂逃犯條例的運動後，何韻詩一直支持反對修例，並參加示威遊行。（編輯：邱國強）1080708,兩岸
3,（中央社記者唐佩君布魯塞爾8日專電）香港歌手何韻詩今天在聯合國人權理事會對「反送中」事件發言，雖遭中國打斷兩次，但她指出一國兩制幾近死亡，呼籲人權理事會保護香港民眾，將不尊重人權的中國除名。人權理事會（UNHRC）自6月24日至7月12日在瑞士日內瓦召開會議，何韻詩在非政府人權組織「聯合國觀察」（UN Watch）和「人權基金會」（Human Rights Foundation）邀請下，今天在當地約下午2時坐在會場內全程以英文發言。她針對香港政府推動修訂逃犯條例草案，得以將逃犯引渡至中國而引爆大規模「反送中」運動發表說明，她以堅定有力的語調表示有200萬人上街反對修改條例，因為逃犯條例拆毀了讓香港免受中國政府干預的防火牆，且警方對民眾發射橡膠子彈。不過現場中國代表立即打斷要求程序發言，現場主持會議的副主席在中國抗議後讓何韻詩繼續發言，她表示，「反送中」運動已有多人遭捕，4人輕生，在北京的阻撓下香港至今仍未有普選， 書商及民運份子入獄，中國不計代價破壞香港民主自由，而在聯合國登記註冊「中英聯合聲明」已經遭中國否認，香港政府被中國控制，一國兩制幾近死亡。最後她詢問聯合國是否應有緊急決議保護香港民眾，由於中國是不尊重人權的國家，人權理事會是否應把中國自人權理事會除名。中國代表則在兩次程序發言時指香港特別行政區是中華人民共和國組成的部分，「這位所謂NGO代表」發言將香港與中國並列，挑戰了一個中國原則，違反聯合國憲章，並指她無端攻擊一國兩制，中方表示堅決反對。（編輯：周永捷）1080708（中央社記者張謙香港8日電）香港藝人何韻詩今天在瑞士日內瓦聯合國人權理事會上講述香港問題。她向中央社記者表示，這是一次很重要的場合，讓她能向國際社會提出香港問題。何韻詩獲聯合國觀察（UN Watch）邀請，台北時間今晚8時左右在人權理事會上，以90秒的時間講述香港問題。何韻詩晚間接受中央社記者長途電話訪問時說，這是很重要的時刻，因為香港才剛經歷過一個月的「反送中」運動，而港府至今沒有聆聽港人的聲音。她表示，這次演說讓她有機會向國際講述當前香港問題，雖然只是90秒，但很重要。雖然香港實施「一國兩制」，但外國人未必清楚當前香港的「兩制」問題。何韻詩說，她在發言提到了兩個問題，一是聯合國有無召開緊急會議來保護香港人，二是中國是破壞人權的國家，為什麼可以成為人權委員會的成員。她的演說從香港爆發「反送中」運動說起，接著後提到中國方面沒有兌現對香港「一國兩制」的承諾，甚至破壞「一國兩制」。何韻詩並證實，在她演說時，中方代表曾兩度試圖強令大會停止她的演說，但未得逞。6月初香港爆發反對修訂逃犯條例的運動後，何韻詩一直支持反對修例，並參加示威遊行。（編輯：邱國強）1080708珍惜生命，自殺不能解決問題，生命一定可以找到出路。若須諮商或相關協助可撥生命線專線「1995」或張老師服務專線「1980」。,兩岸
4,（中央社台北8日電）美中貿易戰仍持續，中國開始擔憂戰火會延燒到金融領域。中國進出口銀行董事長胡曉煉日前公開說，中國正擔憂金融業是否會受到「反潮流」（壁壘）的影響，人民幣因此需要加快全球化步伐。路透社報導，胡曉煉6日在出席北京一場論壇時，作上述表示。這一說法，形同警告正在抬頭的貿易保護主義，其衍生風險可能會殃及中國的金融業。胡曉煉聲稱，「有些國家」一直不斷地破壞全球化進程。在貿易投資、企業合作、技術交流、人員往來等方面「已經豎起了一些壁壘」。胡曉煉說，此舉讓中國擔憂，金融產業作為經濟與全球化的重要支持和保證，是否也會受到這次「反潮流」的影響。她指出，全球貿易與投資環境發生的變化顯示，中國需要有更好的計劃因應潛在的麻煩。因此，人民幣全球化的步伐應該加快，而這一前提是中國需要提高金融業的整體競爭力。胡曉煉表示，提高中國金融業的競爭力，包括提高金融機構的現代化水平，擴大金融領域的開放與創新，消除借貸利率的扭曲現象。她提到，中國需要更加努力地實現利率自由化。只有通過明顯和不明顯的方式降低對借貸利率的控制，才能更好地體現實際的需求與風險。華盛頓郵報6月下旬報導，交通銀行、浦發銀行、招商銀行等3家中資銀行，因為拒絕執行美國法院關於違反北韓制裁調查的傳票，涉及藐視法庭，其中一家可能進一步被禁止進行美元結算業務，業務恐將因此受到嚴重衝擊，也引起中國關切。中國銀行業協會事後公開表示，美國法院此舉未經中國主管機關同意，僅依據其國內法行事，屬於典型的「長臂管轄權」，明顯違反一系列中國法律，中資銀行「依法不應該履行美國法院的判決」。（編輯：邱國強）1080708,兩岸
5,（中央社記者陳家倫上海8日電）上海7月1日起實施強制垃圾分類，市民目前都還處在陣痛期，並傳出糾紛。33歲葉姓男子因不滿指導員阻止他混丟垃圾，竟出手將對方掐暈並逃離現場，隨後遭警方逮捕送辦。「上海市生活垃圾管理條例」1日正式實施，這件事在上海引發輿論沸騰。有網民開玩笑表示，強制垃圾分類恐成為上海的社會推力，把很多人逼走。儘管是玩笑話，卻能看出強制垃圾分類儼然成為上海人生活新壓力。澎湃新聞報導，上海虹口區曲陽路街道赤一社區一名33歲葉姓男子，1日在倒生活垃圾時不聽指導員勸阻錯誤分類，竟對指導員破口大罵，並猛掐指導員的脖子，見對方昏倒後逃離現場。指導員被送往醫院檢查，當天晚間留院觀察，第二天返回家中。葉姓男子也於當晚赴居委會接受警方調查。警方根據現場物證與目擊者證詞，依法將葉姓男子移送公安機關處置。報導指出，葉姓男子所居住的社區採一天兩定時的方式讓民眾丟垃圾，上午、下午各有一次丟垃圾的時間。此外，為讓居民有緩衝過渡階段，還根據不同社區實際情況，臨時設置35個誤時投放點。在垃圾投放點開放期間，所有垃圾場都有指導員駐守，指導居民分類投放垃圾。而在非投放時間段，則由社區民眾組成志工團隊協助垃圾分類，並引導居民養成「定時定點」投放習慣。上海市城管執法局數據顯示，截至7月6日，上海全市城管執法部門共依法查處各類生活垃圾分類案件190起，其中對個人查處15起，既包括個別社區居民，也包括個人餐飲店經營者等相關責任人。（編輯：邱國強）1080708,兩岸
6,（中央社香港8日綜合外電報導）香港警方今天表示，在鎮暴警察與反對逃犯條例的「反送中」抗議人士於深夜爆發衝突後，有5人遭逮捕。國際樞紐香港遭政治暴力衝擊的情況還沒有減緩跡象。法新社報導，香港陷入近年來最嚴重的危機，港府雖暫緩修訂逃犯條例，但「反送中」聲浪仍未平，並演變成要求民主改革及遏止這個半自治區自由縮減的更廣泛運動。昨晚的新一波衝突在旺角爆發，警方對占據道路不願解散的小批戴口罩抗議者揮舞警棍。他們大都是年輕人，在稍早的大型和平遊行過後留下。港警今天清晨發布聲明表示，這群民眾參與「非法集會」，而警方也已警告會採取行動。聲明中說：「部分抗議民眾反抗，而警方以涉嫌襲警及妨礙警務人員執行職務罪名逮捕5人。」維權人士抨擊警方戰術，表示旺角抗議民眾在返家途中仍很和平，暴力是由手持盾牌的鎮暴警察開頭的，他們組成人牆封鎖道路。香港民主運動人士黃之鋒附上至少兩位抗議民眾頭破血流的照片推文表示：「香港民眾和平加入反逃犯條例集會，結果換來香港警察痛打及辱罵。」他在另一篇推文中說：「這只是另一個警方過度使用暴力的例子。」（譯者：侯文婷/核稿：林治平）1080708,兩岸
7,（中央社台北8日電）在面臨美中貿易戰、經濟成長趨緩等潛在重大變數下，中共總書記習近平日前提醒全黨「形勢在變、任務在變」，必須「準確識變、科學應變、主動求變」，把「解決實際問題」作為改革出發點。在經濟成長趨緩及美中貿易戰雙重壓力下，中國社會面臨潛在的不穩定因素。在懼怕生變的維穩至上思維下，習近平自2018年底起便多次以「變」為題發表講話，要求全黨警惕。央視新聞報導，中共「深化黨和國家機構改革總結會議」5日在北京召開，習近平在與會發表講話時，作上述表示。根據報導，習近平在講話中說，「形勢在變、任務在變、工作要求也在變」，必須「準確識變、科學應變、主動求變」。習近平說，要把「解決實際問題」作為制定改革方案的出發點，把關係經濟社會發展全局的改革、涉及重大制度創新的改革、有利於提升群眾獲得感的改革，放在突出位置，優先抓好落實。2018年12月，習近平曾在中共召開的經濟工作會議上說，要看到經濟運行「穩中有變、變中有憂」，外部環境複雜嚴峻，經濟面臨下行壓力。習近平在今年5月29日主持召開中共中央「全面深化改革委員會」第8次會議時說，「面對變局，不能慌了神，必須保持戰略定力」。當前中國改革發展形勢正處於深刻變化中，「外部不確定、不穩定因素增多」。他當時還說，要保持戰略定力，堅持問題導向，因勢利導、統籌謀劃、精準施策，在「防範化解重大矛盾和突出問題」上「出實招、硬招」，推動改革更好服務經濟社會發展大局。近年來，習近平在提到國際形勢時，常用當今世界正面臨「百年未有之大變局」形容。今年6月初，他在俄羅斯出席聖彼得堡國際經濟論壇時便再度引用，並指「全球治理體系與國際形勢變化的不適應、不對稱，前所未有」。（編輯：邱國強/周慧盈）1080708,兩岸
8,（中央社台北8日電）中國國家副主席王岐山今天意有所指地表示，中國將以戰略定力和自信應對外部環境的不確定，反對以國安之名行保護主義之實。被視為中美貿易戰中的「隱藏人物」，王岐山的表態被高度關注。香港經濟日報報導，王岐山8日在在清華大學出席第8屆世界和平論壇開幕式致辭演說，主軸為中國與世界的關係。王岐山表示，中國的和平發展道路便是通過維護世界和平發展自己，又通過自身發展維護世界和平。中國主要依靠改革、創新實現發展，也堅持擴大開放，學習借鑒別國長處。他說，中國將堅持做好自己的事，以戰略定力和自信應對外部環境的不確定性，堅定走和平發展道路。「無論國際形勢如何變化，無論自身如何發展，中國永不稱霸，永不擴張，永不謀求勢力範圍。」王岐山也表示，現有國際秩序並不完美，需加以改革，但不能推倒重來，這是多數國家共識。中國主張推動建構新型國際關係和人類命運共同體，維護多邊主義基石，並認為要恪守國際法與國際關係的基本準則，彼此尊重主權獨立和領土完整。他稱，發展是解決一切問題的總鑰匙，要構建更高水平的開放型世界經濟，以利益融合促進共同安全，並反對以國家安全之名行保護主義之實。中國的發展離不開世界，世界的發展也離不來（開）中國，沒有和平穩定的國際環境，發展就無從談起。中美貿易戰仍前景未明，王岐山的演講提及「外部環境的不確定性」和「以國家安全之名行保護主義之實」，外界認為顯在針對美國。王岐山現任中國國家副主席，被視為中國國家主席習近平倚重的左右手，因此被戲稱為「第八號常委」。王岐山有豐富金融背景，任國務院副總理期間，與美方進行過3輪中美戰略與經濟對話。中美貿易戰中，除了已經被指名為中美全面經濟對話中方牽頭人的中國國務院副總理劉鶴，外界一度認為王岐山是中方談判代表團的核心人物。（編輯：翟思嘉/邱國強）1080708,兩岸
9,（中央社台北8日電）曾被稱為「中國影視娛樂第一股」的華誼兄弟，如今股價不到去年高點的一半，債務壓力下甚至還抵押旗下影院的放映設備。華誼原訂上映的兩部電影近來突遭撤檔，對公司財務更是雪上加霜。華誼兄弟的債務問題並非現在才有，今年1月和4月兩支到期的債券合計就達人民幣29億元。綜合陸媒報導，華誼兄弟1月發出公告，擬以全資子公司華誼兄弟娛樂、華誼影城等資產當做抵押，申請銀行授信達25億元。此外，華誼還將房地產、股權等都悉數質押，包括7部影片的應收帳款，以及10家全資影院管理公司未來的票房收入都一併抵押。即使「未來票房」都成了抵押物，華誼兄弟的債務似乎仍然吃緊，其股價在2018年1月10.84元的高點後，2019年7月8日只剩下4.71元。財新網報導，華誼兄弟本月4日的公告稱，為實際經營的需要，擬以擁有的下屬4家影院的放映設備及附屬設備、設施與河北省金融租賃有限公司開展售後回租融資租賃業務，融資金額為4000萬元，租賃期限為24個月。華誼兄弟沒有提到債務狀況，僅表示在影院行業競爭加劇、運營壓力不斷增加的大環境下，這次擬開展的售後回租融資租賃業務，是一項積極拓展融資管道的創新探索。此外，華誼兄弟今年兩部電影「八佰」和「小小的願望」分別因不同的敏感原因而撤檔，確定無法在暑假黃金檔期上映，這對華誼兄弟的償債計畫無疑是雪上加霜。金融投資分析平台「環球老虎財經」曾刊文指出，造成華誼兄弟債務壓頂的主要原因，是偏離電影公司之路轉而經營文化旅遊地產業，各個項目開工不斷需要資金投入，但類似「蘇州華誼電影世界」這樣的遊樂園區收入並不高，相較於龐大的運營成本，回收遙遙無期。（編輯：張淑伶/周慧盈）1080708,兩岸
