,新聞,類別
0,（中央社記者韋樞台北8日電）台鋼集團的特殊鋼廠榮剛、螺栓廠久陽上半年營運均繳出年增1成佳績。久陽加速拓展美國市場，並提升占比；榮剛新增機台明年首季將投產航太用鋼品。台灣鋼鐵集團旗下螺絲螺帽廠久陽精密6月營收新台幣1.01億元，月減15.55%，年減10.77%，累計上半年自結營收為6.03億元，年成長10.68%。特殊鋼大廠榮剛6月合併營收9.5億元，月增3.9%，年增13.2%；累計上半年自結合併營收為53.7億元，年成長10.2%。久陽表示，受美中貿易戰火波及，中國鋼品低價傾銷歐洲市場，市場需求轉趨疲軟，使得久陽6月營收下滑，所幸仍有1億元水準，今年上半年累計營收亦較去年同期持續成長，目前久陽與主要客戶保持在4個月的訂單能見度，7、8月營收有機會穩定成長。久陽指出，美國對中國鋼品維持25%關稅，久陽的美國客戶穩定成長，因此還要再積極擴展美國市場新客戶，提升美國市場營收占比，並加速新產品的開發力道，除高等級的12.9級螺絲產品逐漸增加接單比重外，近期推行的六角結構組合件產品亦開始送樣及交貨，將持續提升此品類與歐洲大廠的連結合作，久陽對下半年的營運展望抱持樂觀。榮剛則受惠航太產品需求持續熱絡，以及油氣產業市況回溫激勵訂單回籠，推升6月合併營收創今年單月次高。展望未來，原本供航太用的6台VAR真空電渣重熔設備產能利用率已超過滿載，而在取得法國賽峰集團更高規格鋼品材料認證後，新訂單亦逐步發酵，航太用鋼品明顯供不應求，榮剛已同步增購新機台設備，預計明年首季可加入投產。（編輯：蘇志宗）1080708,產經
1,（中央社記者劉姵呈台北8日電）外媒報導德意志銀行擬大幅裁員並關閉亞太地區部分股票業務，市場傳出台灣的德意志證券將配合總部裁員；金管會證期局今天表示，經主動了解後，該公司說明目前無相關計畫。德國最大銀行德意志銀行（Deutsche Bank）宣布，打算裁減1.8萬名員工，計劃大幅削減歐洲以外的證券交易、設置新部門處理銀行服務業務及處理不良資產，重組銀行高層和削減資產負債表等，這讓金融圈傳出德意志在台灣設立的據點德意志證券公司將配合總部裁員。金融監督管理委員會證期局官員回應，今天已有主動了解台灣的德意志證券是否有裁員計畫，但該公司回覆說明，目前無相關計畫。金管會證期局官員強調，如果證券商要裁員，依照規定必須事先向主管機關金管會報告及說明，目前德意志證券並沒有向金管會提出，後續將持續掌握與追蹤。德意志銀行近年來虧損連連，並爆發洗錢醜聞，加上隨著2008年金融危機後加強監管導致許多業務無法再繼續，擴張計畫至此打住並開始倒退；此外，德意志銀行無法根除自身的監管弊病，陷入連串法律訴訟、賠上數十億歐元罰金與民事和解。（編輯：楊玫寧）1080708,產經
2,（中央社記者潘姿羽台北8日電）經濟專家泰勒．柯文今天在一場演講認為台灣卡在美中兩強之間，無法選邊站，將成美中貿易戰下的最大輸家。國發會副主委鄭貞茂則表示，其實是「美國需要我們，中國也需要我們」，台灣是全球供應鏈最佳的solution。泰勒．柯文（Tyler Cowen）被外交政策雜誌評選為「全球百大思想家」，任教於喬治梅森大學（George Mason University），並主持該校知名智庫莫卡特斯中心（Mercatus Center）。柯文今天出席今周刊主辦的高峰會，並以「貿易戰下的新世界」為題演講。他指出，台韓星3國將成為美中貿易戰的最大輸家，因為夾在美中兩強之間，不太可能做出選擇。柯文解釋，台灣跟中國最密切連動，除了有群高收入、有企圖心的人住在中國，台灣對外投資也有一大部分流向中國，經濟往來十分緊密；另一方面，中國在南海的武力持續增強，甚至投資水陸兩棲設備，「這訊號對台灣來說，已相當清楚」。柯文表示，中國的確希望盡速把台灣拿下，台灣在經濟層面上，與中國是共同體，但在國家主權上，需要美國協助防禦，也因此，要台灣在美國、中國間做選擇，就好像詢問他人「到底要心，還是要肺？」會希望不要有天面臨這個選擇。至於新加坡，柯文分析，新加坡非常脆弱，需要美國海軍來保護、防禦，也需要歐美市場及投資，但新加坡也有大量資金投入中國，可以說經濟命脈卡在中國，一樣有沒辦法選邊站問題。南韓同樣與中國有相當程度的經濟往來，柯文表示，南韓也是卡在兩強之間的受害者，因為需要美國協助對抗北韓、對抗中國，當需要選邊站時，會沒處可去。柯文接著說，好在貿易戰現在還處於早期階段，沒有完全爆發，未來得繼續觀察事態進度，也可能有較樂觀的發展。與會的鄭貞茂表示，台灣是全球供應鏈最佳的solution（解決方案），過去之所以從筆電到手機，台灣都能參與國際大廠的供應鏈，是因為可以保障廠商的智財權，絕不會洩漏商業秘密，也因此，在這波全球貿易戰，台商最重要的就是尊重智慧財產權，並確保合約符合美中兩大國的規範。鄭貞茂也說，台灣在智慧財產權保護、法規遵循等方面做得很好，作為小國，台灣也較能彈性配合其他國家的貿易政策，只要能夠堅守自己的優勢，相信在全球經濟變局之下，台灣永遠都在成長跟進步當中。與會的元大寶華董事長梁國源分析，貿易戰轉好、轉壞的機率各自50%，正面因素是美國總統川普須顧慮總統大選將至，貿易戰如果更激烈，會對金融市場、實體經濟造成巨大影響，這對選舉不是好事，中國經濟現在有走緩危機，打貿易戰也會有所顧慮，這些因素都不至於讓貿易戰走向失控的局面。（編輯：楊凱翔）1080708,產經
3,（中央社記者蔡芃敏台北8日電）繼全家推出手機APP咖啡寄杯後，OK超商今天宣布「雲端咖啡」正式上線，未來消費者可以透過APP購入咖啡、線上寄杯、跨店領取，還可以轉贈朋友，業者預估將帶動咖啡成長1成。超商插旗搶攻黑金市場早已不是新鮮事，除了推出優惠、咖啡豆升級，超商雙雄之一的全家超商更搶先業界推出手機APP預售服務，將咖啡寄杯方式升級，根據全家統計，咖啡去年營收達新台幣38億元，光是APP就貢獻11億元。OK超商也不甘示弱，今天宣布「雲端咖啡」正式上線，消費者需先下載更新版APP，就可以在APP上購買OK Cafe，並利用APP線上寄杯，可跨店、分次領取。OK超商指出，消費者還可以分享給好友，只要使用Line或簡訊即能轉贈，且送禮對象不限會員，受贈者憑簡訊、Line連結，就可以到門市兌換咖啡。OK超商咖啡去年營業額達2億8000萬元，銷售900萬杯，業者預估推出APP後，將帶動咖啡整體業績成長1成。OK超商說，為了慶祝雲端咖啡上線，從今天至10日，推出為期3天的限量活動，OKmall冰美式買20杯送21杯，限量5000組，售完為止；APP上線至今已超過百萬會員，後續將開放更多商品線上販售，並提供會員多元的獨家服務。OK超商表示，目前有約900間門市，預估在年底要突破1000家，另外，也將加快OK mini智能便利店布局，目前約300個據點，預計今年將達500個據點。另外，全家也積極經營會員，全家指出，會員APP有點數兌換、支付、商品預售等3大功能，全家將持續擴大點數使用範疇，可兌換民生消費品、精品家電，點數也可玩遊戲，未來會再推出各式遊戲，透過增加社群互動性，進而深化會員黏著度；統一超商則是追求穩定，先前指出不會跟進線上寄杯，不過，消費者仍然可以至單一門市，以紙本寄杯。（編輯：楊凱翔）1080708,產經
4,（中央社記者潘智義台北8日電）由金管會主委顧立雄推動、基富通證券執行的「好享退-全民退休投資專案」9檔基金今天正式出爐，報名也進入最後倒數，已有超過6.6萬名民眾報名，專案報名將於7月30日截止。基富通證券表示，想參加「好享退-全民退休投資專案」的民眾須在7月30日前報名，並在基富通完成開戶；7月31日專案正式上線後，參加的民眾可從專案中的9檔基金，依自己可接受的風險，或想退休的年限選擇適合的產品，啟動退休準備，規劃理想退休生活。基富通平台上「好享退-全民退休投資專案」9檔產品包括安聯投信規劃，適合積極型投資人的安聯四季成長組合基金、穩健型的安聯四季雙收入息基金、保守型的安聯四季回報債券組合基金；群益投信規劃，適合積極型投資人的群益全民優質樂退組合基金、穩健型的群益全民優質樂退組合基金、保守型的群益全民安穩樂退組合基金。以及由國泰投信推出，適合距退休30年投資的國泰泰享退系列2049目標日期組合基金、距退休20年的國泰泰享退系列2039目標日期組合基金、距退休10年國泰泰享退系列2029目標日期組合基金。基富通證券董事長林修銘表示，「好享退」專案引起的廣大迴響，凸顯國人面對退休議題的重視，專案上線近3個月的時間能吸引這麼多民眾參與，顯示民眾對退休準備投資產品的期望。群益投信董事長賴政昇指出，此次針對退休專案推出的基金與一般基金不同，在於目標風險、波動都精準的掌控，當然最特別之處就是超低的基金管理費。安聯投信產品首席主管蔡明潔說明，50歲以前可以考慮積極型基金與穩健型基金混搭，60歲以後可將資產轉換到以債券為主，將創造現金流當成配置重點。蔡明潔舉例，50歲前適合布局股債的安聯四季雙收入息組合基金，搭配安聯四季成長組合基金。50歲後則可將安聯四季回報債券組合基金列為核心保守部位，搭配安聯四季雙收入息基金。基富通總經理黃致淵指出，「好享退-全民退休投資專案」報名正式進入最後倒數，將於7月30日截止，另須在基富通開戶基金申購，選定基金後設定扣款金額、扣款日期，每個契約只能設定一扣款日且不可變更，需在2019年9月底前完成第一次扣款，採取定期定額，且連續24個月扣款，每檔基金每月至少扣款新台幣3000元，可變更每月扣款金額，但最低仍須3000元。（編輯：李信寬）1080708,產經
5,（中央社記者江明晏台北8日電）台灣大哥大總經理林之晨今天宣布，2019「種福電」募款活動起跑，號召合作夥伴與全民為「桃園私立脊髓損傷潛能發展中心」募資新台幣389萬元，助傷友建置太陽能光電系統。由台灣大哥大、台灣大哥大基金會共同創立的綠能創新公益專案「種福電」邁入第3年，繼屏東福慧大同之家、桃園真善美金會之後，今年將開啟讓愛心價值2倍放大的升級模式。台灣大哥大總經理林之晨今天宣布，2019「種福電」(Green Power for Charity)募款活動，即日起正式起跑。台灣大將攜手10家手機品牌供應商、9家3C家電供應商，以及集團內部的momo購物等20家合作夥伴，號召全民一起為「財團法人桃園私立脊髓損傷潛能發展中心」募資389萬元，幫助傷友建置太陽能光電系統。林之晨代表台灣大捐出新台幣100萬元，剩下的289萬元則力邀全民參與。從今年起，脊損中心未來所產生的太陽能綠電將可「自發自用」，林之晨指出，台灣大將以高於再生能源的行情保證認購20年，額外浥注脊損中心472萬元，扣除每年的維運費用，總計可以讓脊損中心獲得超過780萬的收益，讓價值放大2倍，幫助更多傷友受惠。林之晨也演出公益影片，請來有「鋼鐵醫師」之稱的朋友許超彥跨刀站台。在許超彥的邀請下，林之晨頂著38度高溫騎乘腳踏車到位於桃園的脊損中心，陪伴傷友們復健訓練。許超彥分享，十多年前因為一場滑雪意外，讓他從此脊損、不良於行，在中心的幫助下，克服多種生活不便，發揮潛能，才能重返社會與職場，他今天也特別現身記者會現場。財團法人桃園私立脊髓損傷潛能發展中心主任林洋彬表示，國內脊髓損傷者約有6萬5000名，平均受傷年齡僅27歲，脊損者往往發生於外傷性意外或是突發疾病，除了需要適應身體的急遽改變外，更需透過專業輔導與訓練，幫助傷友得到生理、心理及社會性的重建。（編輯：鄭雪文）1080708,產經
6,（中央社記者潘姿羽台北8日電）國際美元走強加上外資偏匯出，新台幣兌美元今天收盤收31.196元，貶值8.9分，台北及元太外匯市場總成交金額11.74億美元；外匯交易員表示，市場動向未明，新台幣短線應該會在31元上下盤整。新台幣兌美元今天開盤價為31.180元，最高31.140元、最低31.203元。外匯交易員表示，美國上週五公布的非農就業數據優於預期，打壓了原本市場對於美國聯準會（Fed）降息的預期，激勵美元走強，再加上外資今天偏買匯，儘管出口商拋匯將新台幣拉回，終場還是貶值作收。展望新台幣走勢，外匯交易員認為，美國非農就業表現強勁，但市場還是認為美國聯準會今年會降息，只是不知道幅度、次數多少，必須持續關注後續發展，加上美中貿易戰還沒落幕，隨時會有新進度，動向未明之下，新台幣續呈區間盤整，「什麼都要觀察，市場也只能觀望了」。（編輯：楊凱翔）1080708,產經
7,（中央社記者江明晏台北8日電）5G將在年底釋照，台灣大哥大總經理林之晨今天表示，電信管理法通過共用頻譜、共同建設、共用網路，盼政府明確表態未來共建一條或兩條5G高速公路，否則恐陷入「囚犯困境」。台灣大哥大今天舉辦記者會，總經理林之晨宣布2019「種福電」(Green Power for Charity)募款活動正式起跑。面對5G將在年底展開競標，林之晨在會後接受媒體訪問表示，一條5G網路高速公路要比4G耗費多9倍的電力，如果5家業者建設5條，就比4G時代多45倍的電力，建議電力應該節省下來，蓋一條或兩條5G高速公路。由於在競標之前，業者間很難談合作，他表示，盼政府明確表態未來共用一條或是兩條5G高速公路，而不是讓大家都非標不可、都要有建設義務，而且最後頻譜分散，也很難談合作，陷入個別利益和總體利益難以衡量的「囚犯困境」。他也說，5G的建設投資金額預估是4G的3倍以上，而且基地台設備的費用大部分也都被國外業者賺走了，期望5G競標不要是「軍火戰」，台灣大會以80MHz到100MHz為頻段目標，否則5G特性難以發揮效益，他並強調「如果價位合理就盡量拿滿100MHz」。目前市面上也有不少MVNO（虛擬行動網路電信公司）業者，電信管理法也對此鬆綁，林之晨期望，不要重複做基礎建設，「想喝牛奶不一定所有人都要養牛」。他也認為，電信業者間「其實都想合作」，目前電信管理法子法還沒通過，台灣大期望3G、4G的共網先行。而針對5G頻譜底價，林之晨評論，從國家角度來說，頻譜一賣20年，因此希望爭取高收入無可厚非，但畢竟現在5G都還沒明確的商業模式，如果準備時間夠長，其實希望政府能考慮「變動式收費模式」，不要「殺雞取卵」，「養雞」20年收的錢有可能放大兩倍。國家通訊傳播委員會（NCC）預估今年第4季進行首波的5G釋照，預計3.5GHz中頻段釋出270MHz、28GHz高頻段釋出2500MHz，1.8GHz頻段釋出20MHz。市場人士推估，首波總標金可能至少投入新台幣350億元。（編輯：楊玫寧）1080708,產經
8,（中央社記者劉姵呈台北8日電）7月開始，多家壽險公司新推出的保證給付失能扶助險將變貴，專家建議，預算有限的人可以挑身故不還本、定期型或拉長年期的類型，每年最多可省下近一半保費。今年7月開始，壽險業者陸續推出新的保證給付失能險，保費普遍提高10%至30%，且還多了6個月的「免責期」及體檢體況條件等限制，在免責期內，保戶必須符合理賠狀態至免責期滿後，保險公司才會給付保險理賠金。以30歲男、女性購買終身型保證給付失能險為例，每月保額新台幣2萬元，男性每年要多付上約2000元、女性多1700元才能買到；預算有限又想購足保障的人，公勝保經永進事業部經理施育良建議3個挑選方向。首先，保證給付失能險有2種，一種是有保證給付但身故不還本，另一種則是保證給付且身故還本型；差別在還本機制，會影響保費高低，不還本型為若期間身故，因不退保費，因此相對比還本型便宜近一半左右。舉例30歲女性、每月保額2萬元，還本型年保費要2萬2580元，不還本型年保費1萬2800元，兩者保費就相差了9780元。再者，也可依自身情況詢問業務員，能否在原有的壽險或是醫療主約下，附加定期型的失能險附約，同樣30歲女性、保額2萬元，自然費率計算每年保費只要342元；但因為是一年一約，每年必須繳錢才有保障效力，且年紀愈大，保費也會愈貴。第三，預算有限但又想要保障充足的人，可以將繳費年期拉長到30年，不過，拉長年期跟拉長房貸年期概念類似，雖降低每年所繳保費，但其實總繳保費會比較多。最後，施育良提醒，每個人不同階段的經濟能力和保障需求不同，對保費高低的認知也不一樣，建議還是依個人所需保障規劃且能夠負擔的預算為主，並且在人生各個轉換階段定期檢視手中保單的保障。（編輯：楊凱翔）1080708,產經
9,（中央社記者韋樞台北8日電）新鋼公司董事長蔡錫奇表示，今年首季鎳價自低檔反彈上來後，目前每公噸價格約1.2萬美元高檔震盪；展望第3季不鏽鋼板的供需平穩，主要需求來自台廠更新設備的浪板和新建廠所需。新鋼公司今天舉行法說會；蔡錫奇會後告訴媒體，影響不鏽鋼價格最大的鎳原料自去年6月每公噸1萬5111美元，一路殺到去年10月的1萬837元，新鋼公司飽受庫存跌價損失，去年下半年獲利不佳，經營相當辛苦。蔡錫奇指出，所幸鎳價從去年10月低檔反彈到今年3月的每公噸1萬3061美元，目前則在每公噸1.2萬美元附近高檔震盪；倫敦金屬交易所(LME)的資料也顯示，全球鎳原料庫存從去年8月的38萬9154公噸一路減少到今年3月的18萬2574公噸。得利於全球鎳原料庫存降低，價格回彈，新鋼今年不再有庫存跌價損失，業外也享有一些匯兌利益，以致今年首季每股稅後盈餘(EPS) 0.14元，超過去年全年的0.13元。蔡錫奇說，下半年供需能見度看不到年底，但第3季看來供需平穩，且需求來自台廠更新設備的浪板和新建廠所需等，但是台商回流的新建廠需求還有待更長時間的發酵。他強調，新鋼全年出貨量約4000公噸，今後將逐漸增加直接客戶的銷售比例達75%到80%之間，對中盤商的銷量不超過20%到25%，主要是直接面對終端用戶，可以提供各式服務提升附加價值，有助量價均提升；相對減少給中盤商的銷量，價格不再被削減，藉以提升獲利。（編輯：李信寬）1080708,產經
