,新聞,類別
0,（中央社倫敦8日綜合外電報導）美國上週公布的就業數據優於預期，使利率大幅調降的可能性漸失，交易商說，在投資人失望之下，歐股今天走低。倫敦FTSE 100指數小跌3.87點或0.05%，以7549.27點作收。法蘭克福DAX 30指數跌25.02點或0.20%，收在12543.51點。巴黎CAC 40指數跌4.53點或0.08%，收5589.19點。（譯者：張佑之）1080709,證券
1,（中央社記者江明晏台北8日電）日本強化管制3項關鍵半導體原料出口南韓，市場擔憂日韓恐爆發貿易戰，日韓股市今天雙雙走跌，投顧認為，日韓關係不好，長遠來看兩國都會「受傷」。兆豐投顧協理黃國偉表示，韓股下挫主要受到LG、三星財報不理想，以及日韓貿易戰衝擊；國泰證期顧問處經理蔡明翰則指出，日本強化輸韓管制，較偏向短線題材，對台廠實質貢獻不大。日本與南韓因前徵用工（遭日本企業強徵的南韓勞工）爭議關係惡化，日本經濟產業省1日宣布，從7月4日起，強化管制3項關鍵電子原料出口南韓，包括含氟聚醯亞胺（Fluorine Polyimide）、光阻劑（Resist）及蝕刻氣體（Eatching Gas），被視為對南韓反制措施。南韓政府也不示弱，表示會採取反制行動。市場擔憂日韓恐爆發貿易戰，東京股市日經225指數下跌212.03點或0.98%，收21534.35點，東證一部指數下跌14.18點或0.89%，收1578.40點。南韓KOSPI指數開低走低，終場重挫2.2%，收在2064.17點，來到逾1個月新低，市場推測日本限制對南韓的半導體和顯示器關鍵材料出口，持續打壓科技股，指標股三星電子、SK海力士均下挫。台股加權股價指數今天開低走低，盤中隨亞股走弱跌勢擴大，下探至10708點，終場跌幅收斂，下跌34.51點，收在10751.22點，跌幅0.32%，表現相對抗跌。台灣經濟研究院研究員劉佩真認為，這次日本對出口至韓國的3項原料進行管制，主要將對南韓以記憶體為主的半導體業者造成衝擊，尤其是氟化聚醯亞胺及氟化氫兩項，屬於半導體關鍵原料，且日本全球市占率高達8成至9成，很難找到替代進口來源。華南投顧董事長儲祥生對中央社記者說，目前情勢看來對韓國較不利，但如果日本和韓國關係不好，長遠來說兩國都會「受傷」，而股市下跌，除了日韓貿易戰，也還受到美股自歷史高點拉回等因素影響。他進一步說，市場擔憂日韓恐爆發貿易戰，但目前還處於初期階段，勢必需要一段時間磋商和談判，必須持續觀察，而全球半導體產業先前已經受中美貿易戰波及，如果又發生日韓貿易戰，無疑是「火上加油」。（編輯：楊玫寧）1080708,證券
2,（中央社記者潘智義台北8日電）中興保全今天公布6月合併營收為新台幣11億1141萬元，較去年度同期成長1.87%。今年累計合併營收為66億3810萬元，較去年度同期成長1.01%。中興保全表示，為因應工資攀升、社區管理成本墊高，透過「換警專案」開發社區業務，以系統取代社區夜間警衛，提供精簡社區人力的解決方案普獲成效，目前已成功開發400餘個社區、工業區。「換警專案」提供周界警戒、門禁、監視、機電設備監控，全天候提供社區必要的管理服務，夜間可以完全無人化，管理員的功能只剩下日間的包裹、郵件簽收，針對精打細算的社區而言可以有效節約管理費用達30%。中興保全說，為達到社區完全無人化，中保也引進「智能物流箱」提供社區常、低溫包裹，一般郵件與掛號郵件收件服務，快遞員只要依據郵件條碼將包裹存入指定的物流箱中，系統會自動推播訊息到收件人手機，住戶只要憑手機簡訊上的密碼，即可開啟物流箱取件，既方便又快速。（編輯：楊凱翔）1080708,證券
3,（中央社記者潘智義台北8日電）筆記型電腦代工及伺服器廠商英業達今天公布6月合併營收新台幣477億712.9萬元，較5月成長16.68%，較去年同期成長6.24%。英業達統計，1至6月合併營收2426億6937.3萬元，較去年同期成長4.73%。英業達指出，筆電第3季有些急單已經在第2季拉貨，所以第3季筆電出貨量將會較持平，伺服器第3季因為商務型伺服器動能下半年較弱，所以表現也較持平，智慧裝置則是第3季較有成長性的產品。英業達6月股東會後記者會指出，銷美筆電占3成以上，必要時將返台生產，但目前時機未到，只有小量銷美筆電返台生產。英業達表示，目前美國並未真的對筆電課徵高關稅，美國總統川普、中國國家主席習近平在美中貿易上也未達成最後協議，如果廠商先認定美國將對中國輸美筆電課徵高關稅，遷移生產線之後，萬一美、中雙方「不打了」，這部分的投資都將浪費。（編輯：鄭雪文）1080708,證券
4,（中央社香港8日綜合外電報導）美國發布的最新就業報告遠優於預期，造成美國聯邦準備理事會（Fed）本月降息的希望轉微弱，亞洲股市今天收盤應聲下挫。法新社報導，儘管近期連串美國經濟數據令人失望，但美國勞工部5日公布的6月數據顯示，新增工作機會數量超越外界預期，顯示美國經濟依舊穩健。這項消息出乎股票交易商意外。投資人原本期待，聯準會可能在本月底召開的政策會議降息達50個基點，但最新就業數據已降低他們願望成真的機率。美國股市3大指數聞訊也自歷史高點回落。亞洲投資人今天延續這股拋售潮。上海股市收盤重挫2.6%，首爾股市挫低2.2%，孟買股市也收跌2%，香港股市收挫1.5%，雪梨股市收跌1.2%，東京和新加坡股市皆收低1%，馬尼拉、台北、曼谷和雅加達股市也全數收黑。萬達（OANDA）高級市場分析師莫雅（Edward Moya）表示：「市場仍相信聯準會本月底將降息。但美國就業市場強健，引發許多人揣測，聯準會今年可能只會降息2次，而非部分人士認為要讓美股再漲3%至5%、進入未知領域，所需的降息3次。」莫雅還說，市場焦點如今轉向聯準會主席鮑爾（Jerome Powell）本週將在美國國會發表的證詞。投資人期待他能提供一些關於聯準會計畫的前瞻指引。另一方面，首爾股市因日本和南韓間的貿易衝突延燒而重挫。兩國因一起和第二次世界大戰期間日本對南韓施行徵用工有關的判決而起紛爭，引發東京對南韓科技企業使用的日本原料實施出口管制。南韓三星電子公司（Samsung Electronics）股價今天收盤下挫2.8%，樂金顯示器公司（LG Display）股價更收跌近5%。（譯者：張正芊/核稿：劉淑琴）1080708,證券
5,（中央社記者張建中新竹8日電）消費IC廠佑華、凌通與松翰第2季業績同步較第1季躍增逾5成，旺季效應顯著。第1季為消費IC傳統淡季，第2季為消費IC旺季，淡旺季差異明顯，佑華、凌通與松翰4、5月業績同步逐月攀高，佑華等3公司4月及5月兩個月合計營收都已超越第1季整季水準。佑華、凌通與松翰雖然6月營收都較5月滑落，不過，整體第2季業績都較第1季大幅成長，旺季效應顯著。其中，佑華第2季營收達新台幣1.8億元，季增75.7%。凌通第2季營收8.06億元，季增52.4%。松翰第2季營收9.33億元，季增51.2%。隨著營收規模大幅擴增，佑華等公司第2季獲利表現也將同步大幅好轉。（編輯：鄭雪文）1080708,證券
6,（中央社記者韋樞台北8日電）羽絨衣代工廠廣越受惠平均銷售單價調漲，產線提升自動化效率，自結上半年營收新台幣63.58億元，年增54.84%。廣越總經理吳朝筆表示，5大客戶表達明後年擴大訂單。廣越6月合併營收18.69億元，再創歷年6月同期新高，月增36.14%，年增31.48%，連續23個月創下各該月營收居歷年同期新高紀錄。吳朝筆表示，由於平均銷售單價持續穩步調漲，美元匯率相對有利，再加上廣越的越南隆安新廠及前江旗艦廠各式自動化工廠新產線的生產效率漸趨穩定，且羽絨原物料廠尚弘羽絨自去年轉虧為盈後，今年將逐漸擴大及穩定獲利，使得廣越全集團毛利率、營業淨利率及稅前稅後淨利率等4率都穩步成長。吳朝筆樂觀看待今、明兩年全球營運版圖擴張及獲利提升，前5大主力客戶Patagonia、The North Face、Nike、Adidas及Arc'teryx始祖鳥等均表達希望廣越明、後年加快產線擴充速度，以便供應新增訂單。法人指出，第3季向來是羽絨服暨戶外休閒服飾傳統出貨旺季，歷史經驗來看，廣越第3季各月業績可望陸續創高。（編輯：楊玫寧）1080708,證券
7,（中央社記者韓婷婷台北8日電）現場檢測廠瑞基與客製化製藥包裝設備廠皇將科技，均透過積極開發新市場帶動營運成長，6月營收表現亮眼。瑞基6月營收創歷史次高，年增124.91%，皇將月增72.83%。瑞基6月合併營收新台幣2927萬元，年增124.91%，6月及第2季營收皆為歷史次高紀錄；累計1至6月營收1.63億元，年成長83.64%。瑞基表示，包括水產、畜產、伴侶動物、及萃取試劑各領域銷售皆較去年同期成長，在國際畜產市場方面，上半年獲得泰國代理商禽流感試劑訂單，越南代理商因應疫病防疫監控訂購非洲豬瘟試劑，加上中國大陸畜產市場持續發酵，除了非洲豬瘟前端萃取商品出貨穩定外，豬繁殖和呼吸障礙綜合症（俗稱豬藍耳病）檢測產品也持續收到備貨訂單。至於伴侶動物試劑產品，瑞基持續維持中國市占率第一的地位，動物醫院客戶數量達340間，同步推升瑞基上半年營收成長。皇將今天公告6月合併營收新台幣1.35億元，分別較上月與去年同期成長72.83%及32.9%；累計上半年營收5.29億元，較去年同期成長1.87%。皇將表示，今年以來接單穩定成長，6月份有客戶遞延出貨以及印度市場2條數粒整線出貨貢獻，帶動單月營收大幅成長，第2季營收2.77億元，較第1季成長9.89%，年增16.15%。展望下半年，皇將表示，除了持續深耕美國、印度2大製藥市場，並積極藉由新產品開拓新客戶與新市場，近年以液體填充連線打進澳洲、中東、非洲等市場。其中，澳洲市場繼2月份出貨一條整線設備之後，下半年還會有一條液充整線出貨。根據產業特性，下半年銷貨會比上半年佳，以目前在手訂單來看，全年營收成長可期。另外，亞洲跨國連鎖保健集團馬光保健控股累計今年上半年合併營收新台幣4.6億元，年增8%，馬光表示，天津馬光的糖尿病慢病管理與牙醫、推拿及中草藥處方等多項自費門診業務均創新高表現。馬光對2019年展望持審慎樂觀態度，全年營運可望逐季成長。（編輯：林沂鋒）1080708,證券
8,"（中央社記者潘智義台北8日電）台灣證券交易所今天公布，上週外資在集中市場賣超新台幣54.09億元，賣超中信金3.33萬張最多，買超長榮海3.07萬張最多，但受罷工事件影響的長榮航為賣超第3名個股。證交所統計，上週外資自集中市場買超最多的前3名上市公司為長榮海買超3萬708張，買進3萬7198張，賣出6490張。臺企銀買超2萬3781張，買進4萬5511張，賣出2萬1730張。群創買超2萬3538張，買進7萬8571張，賣出5萬5033張。上週外資自集中市場賣超最多的前3名上市公司依序為中信金賣超3萬3312張，買進2萬8545張，賣出6萬1857張。兆豐金賣超2萬6501張，買進1萬7227張，賣出4萬3728張。長榮航賣超1萬4164張，買進1萬1700張，賣出2萬5864張。台灣證券交易所統計，上週外資在集中市場賣超54.09億元，其中買進金額為1221.48億元，賣出金額為1275.57億元。自今年年初至7月5日止，外資累計買超469.20億元，其中買進金額為3兆8711.47億元，總賣出金額為3兆8242.27億元。另外，外資總持有股票市值為12兆9,341.39億元，占全體上市股票市值的39.80%，較6月28日的12兆8196.69億元，增加1144.70億元。（編輯：鄭雪文）1080708",證券
9,（中央社記者張建中新竹8日電）記憶體製造廠華邦電與旺宏第2季業績同步好轉，其中，華邦電第2季營收季增10.33%；旺宏第2季營收季增24.05%。隨著客戶需求回溫，華邦電6月營收攀高至新台幣40.94億元，月增2.04%，為8個月新高水準。華邦電整體第2季營收120.11億元，季增10.33%，一如董事長焦佑鈞所說最壞時刻已經過去。旺宏6月營收26.7億元，雖較5月減少1.93%，不過，仍為今年次高水準，任天堂需求強勁，是支撐旺宏6月業績的主要動能。旺宏第2季業績也順利好轉，季營收74.79億元，季增24.05%。展望未來，華邦電與旺宏一致看好下半年可望較上半年好。因應長期營運發展需要，華邦電高雄新廠依原訂進度進行，預計2021年量產。旺宏則將衝刺車用、工業與醫療市場，今年貢獻營收比重將超越3成水準。（編輯：李信寬）1080708,證券
