,新聞,類別
0,（中央社巴黎8日綜合外電報導）法國演員和美食家傑哈德巴狄厄（Gerard Depardieu）11日將拍賣他巴黎一家餐廳的所有物品，包括每瓶價值21萬元的葡萄酒。德巴狄厄上個月賣掉他位於巴黎市中心的餐廳La Fontaine Gaillon，現在則將拍賣餐廳內所有物品，包括酒窖裡產自拉圖酒莊（Chateau Latour）、羅第丘（Cote Rotie）和默爾索（Meursault）等區的葡萄酒。這些酒的價值每瓶高達6000歐元（約新台幣21萬元）。德巴狄厄2003年與當時伴侶女演員卡洛波桂（Carole Bouquet）及葡萄酒界翹楚馬格海茲（Bernard Magrez）一起開餐廳，專門提供豐盛的經典法國菜。德巴狄厄向來直言不諱，曾抗議先前社會黨政府對富人加稅的計畫。他已經出售了許多資產，包含巴黎的一棟豪宅、一家魚店和一間熟食店。德巴狄厄的1名朋友告訴法新社：「（德巴狄厄）的冒險已經結束了。」法國拍賣行艾德（Ader）的拍賣員諾德曼（David Nordmann）和多明尼克（Xavier Dominique）說：「拍賣豪華飯店和餐廳內的物品總是能吸引許多買家的目光。」德巴狄厄今年70歲，在他的家鄉擁有許多葡萄園。他2013年為抗議政府對富人加稅的方案而離開法國，取得俄羅斯國籍，引發舉國譁然。隔年，德巴狄厄宣布要在俄羅斯開設3家餐廳。德巴狄厄曾參與拍攝超過180部影片，因為「大鼻子情聖」（Cyrano de Bergerac）贏得坎城影展影帝，並獲提名角逐奧斯卡金像獎，因而成為法國影壇的代表人物。 （譯者：李宛諭/核稿：林治平）1080709,娛樂
1,（中央社柏林8日綜合外電報導）德國文化部長顧玉特斯（Monika Gruetters）今天表示，第二次世界大戰後德國最成功的電影製片之一、猶太人大屠殺倖存者布勞納（Artur Brauner）辭世，享嵩壽100歲。布勞納是波蘭出生的猶太人，製作超過500部影片與電視劇，包括1990年出品，描述往昔對抗納粹的作品「歐洲歐洲」（Europa Europa）。布勞納7日於柏林辭世，顧玉特斯表示：「德國失去了最重要的電影製片之一。」顧玉特斯說：「曾是受迫害的波蘭裔猶太人，二戰後布勞納來到殺害他家人的國家從事電影製片，並致力投身德國民主重建，這對我們的國家的確是一份禮物。」1918年出生於波蘭中部大城洛茲（Lodz），身為木材商人之子的布勞納因藏身蘇聯而躲過納粹集中營的迫害，來自洛茲的25萬猶太人只有800人倖存，布勞納是其中之一，不過他的家族成員中49人遭到殺害。二戰前威瑪共和時期德國電影遠近馳名，戰後布勞納發現復興德國影業的契機，於是1946年來到柏林，在這座城市的美國占領區創辦CCC製片公司。前往德國途中他遇見日後結褵的髮妻瑪莉亞（Maria），這位猶太女子當年來自波蘭華沙，持假護照旅行，她去年辭世享耆壽92歲。（譯者：曹宇帆/核稿：劉淑琴）1080708,娛樂
2,（中央社倫敦7日綜合外電報導）傳奇美籍非裔盲人歌手史提夫汪達（Stevie Wonder）宣布將暫時退出樂壇，計劃9月進行換腎手術。他6日在倫敦海德公園（Hyde Park）夏日音樂節演出時對群眾宣告：「我將進行一場手術。」「我今年9月要換腎。我有個捐贈人，一切都好。」在為換腎手術作準備前，他還將為樂迷演出數場。美國有線電視新聞網（CNN）報導，史提夫汪達今年69歲，出生即失去視力，能演唱並演奏多種樂器，兼擅作曲，樂風跨靈魂、爵士、節奏藍調、放克、流行等類型，總共25次獲葛萊美獎（Grammy Awards）肯定。他6日對海德公園的聽眾說：「我想要你們知道，我來到這裡是為了表達對你們的愛，並感謝你們愛我。」在場群眾對此報以歡呼。史提夫汪達據稱9歲即能演奏鋼琴、口琴、鼓，1961年在知名的底特律莫頓唱片公司（Motown）發行第一張專輯，當時他才11歲。由史提夫汪達創作和演出的知名歌曲包括1985年發行的「短暫情人」（Part-Time Lover）、1984年的「電話訴衷情」（I Just Called to Say I Love You）、1982年和保羅麥卡尼（Paul McCartney）合唱的「黑檀木與象牙」（Ebony and Ivory）和1973年的「你是我生命的陽光」（You Are the Sunshine of My Life）等。（譯者：陳韻聿/核稿：徐崇哲）1080708,娛樂
3,（中央社洛杉磯7日綜合外電報導）追蹤票房成績的北美院線聯盟（Exhibitor Relations）今天表示，「蜘蛛人：離家日」北美票房在周末進帳9360萬美元（約新台幣29.2億元），總票房則突破1.85億美元。「蜘蛛人：離家日」（Spider-Man: Far From Home）由索尼（Sony）和迪士尼旗下的漫威影業（Marvel Studios）共同製作。根據好萊塢報導（The Hollywood Reporter），電影在7月2日上映後，經過6天，北美總票房就來到1億8510萬美元，且光是周末就進帳9360萬美元。從全球來看，票房已超過5億美元。「蜘蛛人：離家日」接續「復仇者聯盟4：終局之戰」（Avengers: Endgame）的劇情，講述在沒有鋼鐵人（Iron Man）的世界中，蜘蛛人和神盾局局長尼克福瑞（Nick Fury）如何對抗世界。電影由辛蒂亞（Zendaya）、傑克葛倫霍（Jake Gyllenhaal）、JB史慕福（J.B. Smoove）等人演出。上映第3週的「玩具總動員4」（Toy Story 4）則以3430萬美元搶下北美票房第2名。這部動畫電影由迪士尼（Disney）與皮克斯（Pixar）聯合出品。環球影業（Universal）的「靠譜歌王」（Yesterday）以「平行宇宙」為主題。電影中，演員希姆許帕托（Himesh Patel）飾演的一名失意歌手在一次全球大停電後，成為全世界唯一記得搖滾樂團披頭四（The Beatles）的人，並靠翻唱一夕爆紅。這部浪漫喜劇片本週進帳1080萬美元，排名第3。第4到第10名依序為：「安娜貝爾回家囉」（Annabelle Comes Home）；「阿拉丁」（Aladdin）760萬美元；「仲夏魘」（Midsommar）660萬美元；「寵物當家2」（The Secret Life of Pets 2）480萬美元；「MIB星際戰警：跨國行動」（Men In Black: International）360萬美元；「復仇者聯盟4：終局之戰」310萬美元；「火箭人」（Rocketman）280萬美元。（譯者：李宛諭/核稿：徐崇哲）1080708,娛樂
4,（中央社記者洪健倫台北7日電）第21屆台北電影獎評審團今天亮相。本屆台北電影獎因賽制改變與入圍比例看似失衡，引發部分人士批評。評審團主席李烈樂觀看待，認為批評能讓競賽越辦越好。台北電影節的台北電影獎是國片專屬的競賽，今年邁入第21屆，更做出重大賽制改變，除將最佳劇情長片、紀錄片、短片與動畫片等4獎項入圍作品數量，從過往的10部片縮減為5部，也新加入最佳導演、男女主角等個人專業獎項入圍名單。但4類最佳影片入圍名額減半，加上本屆整體入圍名單不如外界預期精彩，在業界引發批評，認為喪失競賽過去的精神，部分影片入圍獎項比例也失衡。台北電影節中午在台北市中山堂，安排台北電影獎複選與決選評審亮相。李烈談到本屆入圍名單遭受的批評，曾任台北電影節總監的她認為，新的改變有批評很正常，她正面看待。李烈相信，批評最終都會帶來正面影響，讓台北電影獎越辦越好。李烈表示，對台北電影獎賽制改革有所期待，因為在台灣做電影很辛苦，希望透過改制激起更多台灣電影工作者的榮譽心，在困境中燃燒熱情。外界認為本屆台北電影獎入圍的劇情片較弱，沒有大片與明星，李烈則認為這不會減損一部電影的本質與訴求。李烈被問及近年國片有何弱點，她表示，自己不會稱之為「弱點」，製作一部電影動輒3到5年，因此電影產業本來就有大小年之分，在台灣市場小、產業仍脆弱的環境更是如此，過去這一年可能正好是國片的小年。本屆台北電影獎決選評審團成員，還包括前任香港電影節總監高思雅（Roger Garcia），他是國際影壇資深影評人及策展人。高思雅說，電影產業一直有強弱週期循環，卻也在這循環之中出現許多令人驚豔的優秀創作者，包括香港新浪潮的導演徐克、許鞍華等人，或台灣新電影的導演侯孝賢與楊德昌。高思雅也認為，台灣電影產業走過1990年代後，開始有較多資源投入，經過10多年後，包括本屆決選評審導演林書宇，以及複選評審演員張榕容，都是那一大段時間中培養出的後起之秀。高思雅說，作為影迷，在經歷產業低潮期時「要有耐心」。女星張榕容這次擔任複選評審，她受訪時表示，雖然擔任複選評審要看很多電影，過程很辛苦，但從這些作品的演員身上學到很多，她也把這些收穫帶進新片的表演中。第21屆台北電影獎由複選評審團選出本屆入圍名單，複選評審包括演員張榕容、電影導演陳芯宜、香港編劇陳慧、電影剪接師雷震卿、電影配樂許志遠、造型設計師王佳惠與日本電影美術赤塚佳仁。決選評審除了由監製李烈擔任評審團主席外，成員還包括高思雅、林書宇、影視製作人柴智屏、影評人及製片塗翔文與中國導演張律。本屆台北電影獎各獎項得主，將由決選評審團與複選評審團在決選會議共同討論選出，7月13日晚間在台北市中山堂舉行的頒獎典禮揭曉。（編輯：管中維）1080707,娛樂
5,（中央社記者蘇麗娜吉隆坡7日專電）睽違4年多，金曲歌王蕭敬騰昨晚回到馬來西亞吉隆坡開唱，為一萬名歌迷獻唱了19首歌曲，老蕭也安分守己，遵守馬國演唱會嚴格的服裝限制，乖乖穿長褲、不露點！蕭敬騰「娛樂先生」世界巡迴演唱會大馬站票一開賣就售罄，為了把娛樂先生海外版原裝舞台完整帶給歌迷，打造3D歌劇院場景，象徵每位到場的人都是娛樂先生的嘉賓，光是燈光器材就從各地總共引進8大貨櫃，高達40尺的多層次舞台，特別搭建一座鋼鐵結構的九宮格音樂牆，讓弦樂手站在高處彈奏，大馬歌迷不只聽歌也大飽眼福。演唱會開場前吉隆坡正好雨神降臨，導致許多歌迷因交通堵塞遲到，蕭敬騰不禁自嘲：「明知我來一定下雨，為何（你們）這麼晚才到現場」，但心疼「冒著生命危險」變成落湯雞前來的歌迷，他還是大聲向大家致歉。不過，看到一些歌迷在開唱期間忙著刷手機，有點吃醋的老蕭不禁嘲諷表示，若歌迷是在拍他或是在Instagram留言仍說得過去，否則會讓他感到有點「怪怪」，他也趁機為Instagram、微博拉粉，要粉絲加他，惹得粉絲一陣哄堂。他也形容，大馬是個非常輕鬆的地方，但卻比較嚴格，想念歌迷的他雖想要下台與歌迷互動，「牽牽手、摸摸腿、送禮物」，卻因安全問題而遭拒。他邊說可惜和為難的同時，又突然打趣表示想直接下台試試看，但下一秒又稱若真的下去，恐怕再也無法和大馬歌迷見面，甚至會被列入黑名單。他也笑稱，此次演唱會的服裝還事先讓大馬單位過目，其中一套表演服是一條長度在膝蓋上一吋左右的短褲，當局即化身他的「服裝顧問」，建議他配上及膝襪子。進入安可，飆得滿身汗的老蕭在抹汗時表示，按照嚴格的規定，要是「露點」可能會被關、在大馬多待一個月，隔天就無法回台；此話一出，歌迷紛紛高呼，似乎樂見他就直接留在大馬，逗得他笑稱歌迷「好壞」。儘管老蕭演唱會全程不能下台與粉絲互動，但在演唱「新不了情」時仍深情地與坐在台前的歌迷合唱，熱情的歌迷也亮出手機光芒與偶像互動，形成一片閃爍的星海。在Solo打鼓秀上，蕭敬騰與樂隊頭戴鯊魚頭套演出一段兒童洗腦歌Baby Shark，造型可愛爆表。老蕭4日早已抵達馬國為演唱會做準備，還到訪吉隆坡亞羅街（Jalan Alor）品嚐聞名雞翅，被不少粉絲野生捕獲，引起一片騷動。（編輯：林憬屏）1080707,娛樂
6,（中央社聖保羅6日綜合外電報導）巴莎諾瓦（bossa nova）音樂先驅、巴西音樂人喬安吉巴托（Joao Gilberto）6日下午於里約熱內盧自宅辭世，享壽88歲。他的家屬在社群網站證實這項消息。喬安吉巴托的兒子馬塞羅 （Marcelo Gilberto）在臉書帳號表示，「他的奮鬥很崇高，他試圖保持尊嚴。」他的媳婦則寫道：「非常傷心，他只想跟我們在一起，與孫女共享天倫之樂。」家屬未披露喬安吉巴托的死因。巴西傳奇創作型歌手兼吉他手喬安吉巴托，1931年6月10日出生於巴西東北部巴伊亞州（Bahia），18歲開始唱歌。遷往里約熱內盧後，1959年出首張唱片Chega de Saudade，標誌著世界著名音樂巴莎諾瓦的伊始。他的1964年專輯、與美國薩克斯風大師史坦蓋茲（Stan Getz）合作的「蓋茲與吉巴托」（Getz/Gilberto）銷售數百萬張，贏得多項葛萊美獎，並讓巴莎諾瓦成為全球各地備受喜樂音樂。（譯者：劉學源）1080707▲喬安吉巴托的媳婦在臉書帳號轉貼喬安吉巴托與其孫女的照片。,娛樂
7,（中央社記者洪健倫台北6日電）台北電影節今天下午為第21屆台北電影獎的準影后舉辦對談，女星郭書瑤、李亦捷、黃采儀受邀出席，和影迷分享擔任演員的經驗。女星黃采儀以短片「情色小說」入圍最佳女主角，她飾演一名陷入創作瓶頸的中年暢銷女作家，遇到仰慕她才華的年輕天才身障男寫手，在男子要求下，以性愛交換對方的才華。黃采儀在片中有大尺度性愛演出，她說看到劇本時就「見獵心喜」。一來因為中文系畢業的她曾有一個作家夢；二來黃采儀認為在台灣的影視環境，中年女演員當女主角的機會很少。「情色小說」篇幅雖僅有30分鐘，但黃采儀說，這是她第一次覺得詮釋到一個非常完整的角色，她從拿到劇本到開拍前，讓自己生活的一部分處在角色之中，幫助自己進入角色。演員李亦捷在「野雀之詩」中飾演酒店小姐，這次在片中要穿得少，又有裸露床戲。李亦捷說大家以為她不介意裸露，但對她而言，穿著清涼就已經是很大挑戰，還因此在開拍前，花很多時間在家裡作心理建設。談到對演戲的熱情與對自己的影響，李亦捷透露她過去2年曾經無戲可拍，卻也在這段空窗期發現自己真的很喜歡演戲。她說她曾有一段時間，如果不活在角色裡，就不知道怎麼面對自己的生活，直到拍完「野雀之詩」後，才慢慢脫離這樣的狀態。演員郭書瑤在男星藍正龍自導自演的電影「傻傻愛你，傻傻愛我」中飾演一名援交少女。郭書瑤表示她很喜歡這個角色裡沒有那麼友善、卻能給大家溫暖的人性面。這次與唐氏症演員合作，讓原先不相信真愛的郭書瑤，感受到愛原來可以真的很單純。談到擔任演員的心得，郭書瑤表示，雖然自己現在沒有能夠選擇角色的機會，但希望能夠挑戰價值觀與自己截然不同的角色。（編輯：屈享平）1080706,娛樂
8,（中央社記者洪健倫台北6日電）國片「傻傻愛你，傻傻愛我」今晚在台北電影節首映，女主角郭書瑤表示，與唐氏症演員合作讓她改變很多想法，本片若能讓社會對唐氏症有更多理解與尊重，她就心滿意足。男星藍正龍首度自導自演的「傻傻愛你，傻傻愛我」，敘述一名唐氏症患者遇到一名少女，將她誤認為來自繪本故事中的美人魚，兩人因而展開一段友誼。藍正龍與郭書瑤今晚在首映前受訪，郭書瑤在片中和演員蔡佳宏合作，談到這次演出經驗，郭書瑤表示，唐寶寶們讓她改變很多想法，了解到「很多事情我們無法控制，但是我們可以從自己做起，多做一點什麼，就可以讓大家變得更好」。郭書瑤以片中少女一角，入圍第21屆台北電影獎最佳女主角獎，被問到有沒有信心拿下影后，她笑說，「連入圍都不敢想」，並說在拍片環境與狀態下已盡全力，但還可以做得更好。郭書瑤也大讚藍正龍「很溫暖」，她提到，其中一場戲在海中拍攝，當時因為水太冷，讓她冷得無法掌握情緒，藍正龍還親自泡在水裡為她導戲。郭書瑤指出，演員出身的藍正龍知道演員需要什麼，導戲時很願意給予協助跟支持，讓她覺得很幸福。藍正龍表示，自己有小孩後，也知道照顧孩子的辛苦，家中若有特別的孩子，全家人的心都會懸在他身上。藍正龍期盼透過電影讓更多人喜歡唐氏症與其他發展障礙的孩子，「如果5萬個觀眾裡，有1000人受到影響，並帶到他們的家庭，改變的力量就會慢慢出來」。「傻傻愛你，傻傻愛我」將於11月正式上映。（編輯：張雅淨）1080706,娛樂
9,（中央社記者洪健倫台北6日電）2019台北電影節今天下午在台北市中山堂，放映國片「海上花」數位修復版，本片製片暨剪接廖慶松、攝影李屏賓、美術指導黃文英與錄音師杜篤之，也在映前受訪分享拍片回憶。電影導演侯孝賢執導的「海上花」，在1998年上映，曾在第一屆台北電影節拿下本土商業類影片的「最佳導演」與「最佳藝術指導」兩項大獎。本片透過清朝末年上海租界的高級妓院「長三書寓」中，男男女女間的言談軼事，反映當時的浮華人生。「海上花」21年後重回台北電影節，身兼台北電影節主席的「海上花」攝影師李屏賓表示，侯孝賢把清末上海的文化、社會的是非與人生際遇，都濃縮在片中的青樓小房間中，很佩服侯孝賢的導演手法。李屏賓還透露，20年前導演侯孝賢與剪接師廖慶松覺得他把「海上花」拍的太美，故意把畫面亮度調暗。這次做數位修復版，李屏賓原想調亮影像，還原畫面的美，但最後還是被侯孝賢調暗。廖慶松擔任「海上花」製片與剪接，他受訪時透露，當年本片無法順利在上海取景，只能緊急將拍攝地搬回台灣，也使劇組捨棄原本的外景，改以室內場景為主。但少了畫面素材，也讓廖慶松在剪接時很苦惱，只能用大量的淡入（fade in）與淡出（fade out）手法，銜接各個場景，卻也造就本片的獨特韻味。黃文英則回憶「海上花」劇組在開拍前，火速在桃園楊梅搭起3棟上海式建築，更從上海、北越緊急訂購傢俱，才及時搭起場景。資深錄音師杜篤之也參與了影片修復工作，昨天才重新完成「海上花」的5.1聲道的混音，他最佩服為本片日本演員與田美智子配音的已故香港演員陳寶蓮。美智子拍片時以日語演出，但她的角色在片中講的卻是上海話與粵語。杜篤之說，為了美智子的配音，劇組試了很多演員都不滿意，直到找到陳寶蓮。杜篤之這幾天重看「海上花」，還是驚嘆陳寶蓮的出色詮釋，感嘆英年早逝的她，是很優異的演員。本片導演侯孝賢，今天也在工作行程中抽空，在映前與其他劇組成員向觀眾致意。（編輯：屈享平）1080706,娛樂
