,新聞,類別
0,（中央社台北8日電）今彩539第108162期開獎，中獎號碼23、24、4、21、18。派彩結果，頭獎1注中獎，獎金新台幣800萬元。貳獎198注中獎，每注獎金2萬元。3星彩中獎號碼172，正彩29注中獎，每注獎金1萬2500元。4星彩中獎號碼3434，正彩9注中獎，每注獎金12萬5000元。實際中獎獎號及派彩內容，以台彩公司公布為準。1080708,生活
1,（中央社台北8日電）雙贏彩第108162期今晚開獎，中獎號碼為15、18、20、4、5、12、9、10、22、6、23、7。派彩結果，頭獎摃龜。貳獎有3注中獎，各得獎金新台幣10萬元。派彩結果及中獎獎號以台彩公布為準。1080708,生活
2,（中央社台北8日電）威力彩第108054期今晚開獎，第一區中獎號碼為35、24、6、25、18、5，第二區中獎號碼為2號。派彩結果，頭獎摃龜。貳獎1注中獎，獎金新台幣1282萬6544元。派彩結果及中獎獎號以台彩公布為準。1080708,生活
3,（中央社記者汪淑芬台北8日電）長榮空服員罷工6日落幕，長榮航空今天在網站上公告，20日起所有航班恢復正常營運。桃園市空服員職業工會6月20日下午4時起發動長榮空服員罷工，7月6日勞資簽團體協約，罷工落幕，罷工正式結束時間是明天深夜12時。這次罷工長達17天，長榮航空在部分未加入工會及加入工會但未參與罷工的空服員努力下，讓公司維持一定運能，最差狀況為3成7，多數在5成左右，目前已回到7成。隨著罷工結束，長榮航空公告，20日起航班就可全部恢復正常。長榮航空統計，從6月20日至7月19日，因應罷工，共取消約2200班次航班，影響約40萬人次。（編輯：唐聲揚）1080708,生活
4,（中央社台北8日電）威力彩第108054期今晚開獎，第一區中獎號碼為35、24、6、25、18、5，第二區中獎號碼為2號。威力彩已連36摃，台灣彩券公司昨天表示，預估8日開出的頭獎將上看新台幣8.7億元，若1注獨得，將為逾8個月以來最高金額頭獎。實際中獎獎號以台彩公布為準。1080708,生活
5,（中央社台北8日電）雙贏彩第108162期今晚開獎，中獎號碼為15、18、20、4、5、12、9、10、22、6、23、7。實際中獎獎號以台彩公布為準。1080708,生活
6,（中央社記者王朝鈺基隆市8日電）星夢郵輪旗下15萬噸「世界夢號」（World Dream）今天首航基隆港，以「母港兼掛靠港」營運模式，刷新基隆港母港郵輪最高噸位紀錄。台灣港務股份有限公司表示，一般母港郵輪作業，多為本地的旅客搭乘至國外遊玩，世界夢號今天則帶來大批來自香港的旅客進行4天深度旅遊，直到7月11日再選擇搭乘原船或搭機離台的運輸工具，創新的操作模式讓旅客能有更長的時間體驗台灣文化與美景，同時也能大幅增加在地的觀光消費。星夢郵輪總裁布朗（Thatcher Brown）致詞表示，連同上週以及將於8月25日開展的高雄航次，世界夢號今年夏季預計將為台灣帶來1萬2000名旅客，明年3月至10月，更會增加星夢郵輪在台運營至10個航次，預計帶來超過4萬名外籍旅客。基隆市長林右昌說，15萬1000噸的世界夢號讓基隆港的郵輪產業邁向新的里程碑，船上設施不僅豐富多元，且首創「母港兼掛靠港」操作，從香港帶來3000多名旅客，還要從台灣載4000多名旅客到日本，嶄新的營運模式讓基隆港的郵輪更增魅力，相信也會吸引更多人到基隆觀光。星夢郵輪也預告，旗下首艘20萬4000噸，載客量高達9000名旅客的「環球級」郵輪預計2021年初正式對外亮相，今天並展出標準露台客房面積約為6.05坪，可容納多達4名旅客，客房更融入多項人工智慧科技，包括藍牙門鎖、智慧家居系統等。（編輯：張銘坤）1080708,生活
7,（中央社台北8日電）今彩539第108162期開獎，中獎號碼23、24、4、21、18。3星彩中獎號碼172，4星彩中獎號碼3434。實際中獎獎號以台彩公布為準。1080708,生活
8,（中央社記者黃麗芸、魯鋼駿台北8日電）由4名台灣青年組成的機器人團隊Reset，日前赴澳洲雪梨參加2019 RoboCup世界盃機器人大賽，經多天奮鬥，勇奪青少年足球公開組中的超級聯賽冠軍。台灣代表隊Reset隊的4位選手分別是私立復興中學國三升高一的梁峻瑋，私立大同高中高一升高二的游曜瑋，清華大學大一升大二的高志奇，以及台北護理健康大學大一升大二的蘇寄屏。台灣代表隊Reset隊的指導教練蘇寄偉是蘇寄屏的哥哥，目前就讀國立清華大學，從小迷上機器人研究的他，國二時就成立機器人工作室，從程式設計、組裝機器人到上場比賽足球，全程都親自掌控。蘇寄偉透過社群軟體Line告訴中央社記者，他還是選手時，就已獲得4座世界盃機器人大賽冠軍，轉為教練後，又連續3年帶領團隊奪冠，也因此他今年獲得大會邀請擔任國際委員，協助規劃比賽與訂定比賽規則。蘇寄偉說，今年賽事共有來自全世界28個隊伍參賽，台灣Reset隊在超級聯賽項目中，與法國、奧地利、俄羅斯及澳洲共同組成聯隊，與其他聯隊進行5對5的機器人足球競賽，最終獲得冠軍。高志奇透過清大校方轉述，他從高一開始參加世界盃機器人大賽，今年已是第4次參賽，除了第一年成績不理想，已連續3年奪冠，他說，每次參賽都會看見各國選手的設計與進步，比賽還未結束，團隊就已展開檢討，為下一年的比賽做準備。就讀清大的高志奇說，目前他在學校專注於硬體設計，未來將會申請實驗教育方案，學習更多相關知識。陪同兒子梁峻瑋前往澳洲雪梨參賽的國民黨籍台北市議員王欣儀，這幾天都在臉書發文說，陪伴青少年選手出國比賽，心情忐忑緊張，壓力很大，首日比賽旗開得勝，仍希望大家幫他們加油打氣。王欣儀昨晚在臉書發文表示，台灣小將參加2019世界機器人大賽為國爭光，台灣代表隊 Reset在超級聯賽項目中拿下世界第一。王欣儀提到，看到連日辛苦的選手們拿出國旗，小情人（梁峻瑋）也拿著獎盃開心合影，還有獎狀上的Taipei和得獎榜單上的Taiwan字眼 ，「我又忍不住感動得紅了眼眶...」。許多網友看到留言後，也紛紛致上恭喜之意，也歡迎台灣小將們凱旋歸國。（編輯：陳清芳）1080708,生活
9,（中央社記者汪淑芬台北8日電）華信航空今天宣布，9月4日起，開航台中直飛日本鳥取，每週2班。華信航空邀旅客前往鳥取，邊騎乘駱駝邊欣賞壯麗砂丘美景。華信航空表示，鳥取航線將先以季節性包機飛航，初期每週三、六各有一班台中往返鳥取航班，以104人座的E190飛機執行飛航任務，兩地飛行時間為2小時50分。華信航空台中－鳥取航班，去程上午7時由台中機場起飛，日本時間上午10時50分抵達鳥取機場；回程日本時間上午11時50分由鳥取機場起飛，下午1時45分返抵台中機場。華信航空也與旅遊業者合作多種鳥取行程，其中推薦首選的是鳥取砂丘，旅客可以邊騎乘駱駝邊欣賞壯麗的砂丘美景，彷佛置身電影場景。此外，鳥取的鬼太郎大街是親子旅遊不能錯過的景點，兩旁有多達177尊活靈活現的妖怪青銅像，而鳥取也是「名偵探柯南」作者青山剛昌的故鄉，是柯南迷必造訪的地方。（編輯：張雅淨）1080708,生活
