,新聞,類別
0,（中央社記者葉素萍台北8日電）喜樂島聯盟政黨籌備委員會成員劉敬文（妖西）今天表示，正在籌備組黨，規劃在20日舉辦喜樂島聯盟政黨成立大會，並擬推出2020總統候選人、不分區與至少10席區域立委。劉敬文今天受訪指出，喜樂島聯盟組黨行動，昨天的籌備會議決議，由喜樂島聯盟總召集人郭倍宏、台灣教師聯盟理事長蕭曉玲、前台中市議員陳福文、台大醫學院助理教授游偉絢與他組成五人工作小組，推動在7月20日召開黨員大會。劉敬文指出，總統蔡英文執政不佳，再加上民進黨初選過程引發泛綠支持者強烈不滿，喜樂島聯盟政黨是這樣背景下的產物，此外，新政黨也是延續喜樂島聯盟的正名制憲、國家正常化的主張。他說，成立喜樂島聯盟政黨是為了推2020總統候選人、不分區立委與至少10席的區域立委，這個過程會很困難，因為台灣對於新的政治力量的產生有很大的阻力，但他們會設法克服。劉敬文提到，昨天的籌備會議也決議，推派代表去見前總統陳水扁，因為希望與理念相同的力量合作，這其中當然包括陳水扁，盼志同道合的人一起推動此事。對於傳出陳水扁推動組黨，陳水扁兒子、高雄市議員陳致中在LINE群組發布訊息否認，表示沒有這回事。（編輯：謝佳珍）1080708,政治
1,（中央社記者顧荃台北8日電）行政院人事行政總處10日將召開軍公教待遇審議委員會，討論109年度軍公教是否調薪；會後將建議案送交行政院，由行政院長蘇貞昌做最後決定。人事行政總處表示，軍公教是否調薪，每年都會召開例行的審議委員會進行討論；10日召開的委員會將參考民間企業薪資水準、物價、平均所得、經濟成長率等指標，進行綜合評估。委員會審議後，將向行政院提出明年軍公教是否調薪的建議案，再由蘇貞昌做最後定奪，並列入109年度中央政府總預算案。軍公教上次加薪是106年時任行政院長賴清德拍板，從107年1月1日起實施，加薪幅度3%。（編輯：李信寬）1080708,政治
2,（中央社記者余祥台北8日電）國民黨今天展開為期7天的總統初選民調，各陣營都推出教戰守則，呼籲粉絲在家守電話。把握最後一週衝刺，郭台銘和朱立倫明天都先在台北召開記者會談政見，之後分別走訪苗栗和彰化，努力爭取選民支持。國民黨總統初選共有5人角逐，包括前鴻海董事長郭台銘、高雄市長韓國瑜、前新北市長朱立倫、前台北縣長周錫瑋、孫文學校總校長張亞中。國民黨初選民調從今天開始至14日每天晚上6時30分至10時進行，採室內電話戶中抽樣，由5家民調公司各抽樣3000份有效樣本，並將在15日公布結果。民調題型方面，包含黨內互比和他黨對比兩種，他黨對比的選項中，除了主要對手總統蔡英文外，也納入可能參選的台北市長柯文哲。各陣營近日紛紛推出教戰守則，教支持者如何回答問題，韓國瑜昨天更親上立委許淑華的臉書直播，充當訪員直接模擬民調訪問藝人葉啟田；朱立倫今天也在臉書推出一隻短片，同樣自己擔任民調訪員，模擬民眾接到電話的真實狀況。國民黨日前跟參選人陣營達成共識，民眾在回答問題時，一定要答出參選人的全名，若是只回答暱稱，像是韓總、郭董，訪員則會再重複問一次問題；若民眾回答「唯一支持某某某」，也算是有效的答案，在沒有該支持對象的題目，就被視為都不支持。雖在初選民調期間，各陣營不得發送市話或手機等電話語音拜票訊息，但主要參選人仍把握最後一週時間催票。朱立倫今天起一連三天舉辦「民進黨最怕朱立倫三好記者會」，今天以他是最禁得起檢驗的為主軸，明天將強打他是最年輕的參選人。朱立倫明天也將到彰化，拜會彰化縣議會議長和縣議員以及地方人士，盼爭取意見領袖的支持，為選情加持。郭台銘同樣也將先在台北召開記者會．談他提出的身障保險社會福利政策，之後將前往苗栗、新竹，主要以參拜廟宇為主，盼能加強與選民的互動；韓國瑜則照常市政行程。（編輯：楊凱翔）1080708,政治
3,（中央社記者余祥台北8日電）高雄市長韓國瑜提倡徵募兵並行。國民黨總統初選參選人郭台銘認為，不解決少子化問題，就提出恢復徵兵制看法是草率且不負責，應增強的是國防戰力而不是國防人力，「韓市長的看法已經過時了」。國民黨總統初選參選人朱立倫今天接受廣播專訪時也說，台灣現在就是「徵、募兵並行」，韓國瑜講這個就被人家打臉，因為台灣並沒有廢掉徵兵制，問題在於可不可行，要做怎樣的政見調整，可能要提出完整的論述。國民黨今天起為期7天進行總統初選民調。針對現行的兵役制度，國民黨總統初選參選人韓國瑜拋全募兵不可行、徵兵不能完全廢除的倡議，並指出，合理規劃應是徵、募兵並行，以確保國家安全。郭台銘今天晚間透過新聞稿表示．少子化是現階段台灣面臨的國安問題，台灣社會禁不起再恢復徵兵制所帶來的勞動力短缺衝擊。郭台銘表示．時代、科技在進步，短兵相接的戰爭已經不是戰爭的常態，兵不在多而在精，發展高科技武器已經是趨勢，打造科技的國軍才是正途，應該增強的是國防戰力而不是國防人力，「韓市長的看法已經過時了」。郭台銘認為，少子化的問題不解決，就提出恢復徵兵制的看法是草率而且不負責；2018年全國的新生兒出生數已跌至18萬，按照現在的趨勢今年將會跌至18萬以下，所以他才會提出0至6歲國家幫你養的育兒政策，就是要解決少子化的國安問題。郭台銘指出，若再恢復徵兵，社會及產業的勞動力將會大受衝擊，不但產業界很難調適，年輕人和家長也無法接受這樣的國防政策大轉彎。（編輯：李信寬）1080708,政治
4,（中央社記者蔡芃敏台北8日電）國民黨總統初選參選人郭台銘未簽初選公約，外界質疑他恐脫黨參選總統，郭台銘說，這是假議題；他也呼籲，國民黨應再次舉辦初選公約簽約大會，聲明團結合作，「我一定到場」。郭台銘今天到1111人力銀行與青年對談直播，會前接受媒體採訪，被問到尚未簽署國民黨初選公約，外界質疑有「脫黨參選」可能。對此，他說，「脫黨參選是假議題」。不過，對於郭台銘指其他參選人是由他人代簽初選公約，國民黨今天回應，其他4位參選人公約都是親自簽署，無代理人簽署之事。郭台銘說，「不能接受黨中央回答」，自己在場時，其他參選人都是代簽，希望黨中央能公布簽名單據，並再次舉辦初選公約大會，聲明團結合作，「我一定到場」。總統蔡英文即將赴出訪友邦，去程、返程會過境美國。郭台銘再度提及要送國旗帽給總統蔡英文，於出訪時配戴。他說，蔡總統到美國去，戴一個國旗帽有那麼難嗎？既然要做中華民國總統，就要打從心底愛中華民國，誓死捍衛中華民國。郭台銘表示，中華民國總統就要戴著中華民國帽，為了將國旗帽送給蔡總統，不排除到機場送行，親自送到蔡總統手中。另外，與青年對談直播時，談及青年低薪問題。郭台銘表指出，要解決低薪問題，要從調整國家產業結構做起，包含推廣雲端計算、機器人、知識經濟、人工智慧等。他說，有人強打庶民經濟、平民經濟，不過，經濟是科技整合，「賣香腸講求庶民經濟，不過，人往高處爬，我不相信他希望他兒子一輩子做攤販經濟」，台灣要國際化，需要有懂產業的總統，選擇比努力更重要。直播也談到青年學貸問題，郭台銘表示，目前政策是前3年不需繳交繳利息，若當選總統，將延長免利息時間至6年，且利息減半。（編輯：林沂鋒）1080708,政治
5,（中央社記者吳哲豪、蕭博陽彰化8日電）總統蔡英文今天下午邀請民進黨籍的彰化、南投縣議員進官邸會談，民進黨彰化縣黨部主任委員邱建富說，總統承諾農委會會收購彰化價格崩跌的在來米，以免農民血本無歸。蔡總統今天邀請民主進步黨籍的彰化、南投兩縣議員、黨籍彰化市長林世賢、民進黨彰化縣黨部主委邱建富等人進入總統官邸，傾聽地方對立委、總統大選的意見以及有關地方建設的建議，會談大約進行2個小時，會後由邱建富轉述會談內容。邱建富說，蔡總統會談時提及農地違章工廠以及彰化市鐵路高架化工程的問題，也特別提到彰化縣最近因在來米超種，造成價格崩跌；總統特別找來農委會主任委員陳吉仲背書，當場承諾農委會會以成本價收購。邱建富指出，蔡總統也很關心彰化市鐵路高架化工程的進度，希望儘速進行，因此指示國發會和交通部要到地方了解狀況，和地方溝通。南投縣議員則反映，埔里鎮花卉物流中心去年因業者終止契約後，目前處於閒置狀態，居民擔心最後淪為蚊子館。埔里鎮長廖志城特別提到，希望中央協助打造成為埔里鎮的農產品行銷中心，使場館更多元活化。邱建富表示，議員們也向總統建議可以常到地方走動，了解地方的需求，也認為行政院長蘇貞昌的執行力和團隊效率很好，希望繼續保持下去。（編輯：唐聲揚）1080708,政治
6,"（中央社記者葉素萍台北8日電）媒體報導，宜蘭市與美國洛克維爾市簽約，締結姐妹市，總統蔡英文以台灣總統之名，已準備好賀文，並親自簽名，交由市長江聰淵帶往美國。總統府今天說，稱呼模式不需要做政治解讀。聯合報日前報導，宜蘭市將與美國馬里蘭州洛克維爾市(Rockville)簽約，締結姐妹市，蔡總統還以台灣總統之名，已準備好賀文，並親自簽名，交由宜蘭市長江聰淵帶往美國。這份文件上印著台灣總統President of Taiwan（R.O.C.），並有蔡總統簽名。網路上出現質疑聲音，認為蔡政府擅改國號。總統府晚間指出，這件賀文是由宜蘭市公所準備，並請蔡總統簽署，文件上所載雖有國名縮寫「R.O.C.」，但仍非屬中央或總統府的文件。總統府在正式文書中都使用President,Republic of China（Taiwan），沒有例外。總統府解釋，相關稱呼模式，在2016年蔡總統訪問巴拿馬的時候就有被討論過。當時蔡總統就說，2300萬人選出來的總統，以台灣的總統稱呼並不為過，這也是國際上很多人、很多媒體對國家元首的稱呼，不需要做政治的解讀，衍生不必要的困擾。（編輯：李信寬）1080708",政治
7,（中央社記者黃麗芸台北8日電）中國國民黨台北市黨部小編發文攻擊高雄罷韓店家，引發外界撻伐。國民黨市黨部主委黃呂錦茹表示已予以告誡，將要求對外道歉；民進黨市黨部主委陳正德則譴責言語暴力行為。自由時報報導，位於高雄市鹽埕區駁二藝術特區知名香蕉煎餅店「廣德家」高調罷免高雄市長韓國瑜，惹惱韓粉；而「中國國民黨台北市第四區（中山大同）黨部」臉書粉絲團小編發文攻擊店家性向，酸「原來他真的『只吃香蕉』」，歧視言論引發網友怒火。事發後，「中國國民黨台北市第四區（中山大同）黨部」臉書粉絲團已關閉，但相關言論截圖已廣為流傳。黃呂錦茹向中央社記者證實此事確實為地方黨部的黨工所為，黃呂錦茹表示，並指這名小編平時工作有熱忱且賣力，但有時會有過激言論，先前已予以譴責過，未料今天還發生此事件，已進行內部檢討，輕則告誡、重則停職處分，要求其保證不再犯，且將擇期對外道歉。她說，站在黨的立場來看，黨工不可導引支持方向，也不可涉入其中，以免誤導支持者，對各參選人也要公平，更不可有性歧視，未來內部會將更謹慎小心。陳正德則認為，民主社會的任何人均可在合法界線內表達個人意見，尊重每人的言論自由，不應涉及攻擊、恐嚇或威脅等言語範疇，認為當事人應加強約束相關行為，並予以譴責。他指出，從去年九合一選舉迄今，從個人到團體都有被攻擊或恐嚇的情事發生，如此下去會嚴重傷害民主，認為任何人或政黨都應公開呼籲支持者不要有言語暴力行為，而非只會說愛與包容，卻不敢表達真正意見，恐有放縱之虞，應遵守法律相關規範。「否則這和過去戒嚴時期也不相上下」，陳正德說，支持者可以有反對立場，但不能用攻擊、恐嚇的言語或暴力行為，而是要尊重他人的言論自由。（編輯：張銘坤）1080708,政治
8,（中央社記者葉素萍台北8日電）民主進步黨主席卓榮泰將結束10天的訪美行，明天清晨返抵台灣。他今天提到，此行拉近黨跟各地鄉親的距離，共同面對大家以後要勇敢面對的許多問題，也約定要一起努力、爭取勝利。卓榮泰6月29日由立委李俊俋、林靜儀等人陪同出訪，拚政黨外交，訪團成員明天清晨將返抵台灣。卓榮泰稍早在美國舊金山機場等候轉機回台時，透過臉書分享一段影片，說明此行成果。他說，這一路上聽到許多非常寶貴的聲音，鞭策民進黨繼續深化；這10天拉近了民主進步黨跟各地鄉親們的距離；共同面對大家以後要勇敢面對的許多問題；約定要一起努力、爭取勝利。卓榮泰提到，各地僑胞相當重視2020選舉，民進黨一定要拚出真的精神，讓僑胞會因為民進黨的鞭策改造，而感動地回來共同加入2020的本土政權保衛戰。他說，回到台北，沒有時間休息，大家要一起上最重要的戰場。（編輯：楊凱翔）1080708,政治
9,（中央社記者吳睿騏桃園8日電）桃園市長鄭文燦赴美考察，在美國時間7日受邀出席聖湯瑪士大學國際研究中心學者座談會，並參訪美國國家航空暨太空總署（NASA）詹森太空中心，他更期待未來能與德州進行城市交流。鄭文燦在6日至17日期間赴美考察，於當地時間7日上午，應邀出席美南台灣人夏令營演講表示，今年適逢美南夏令會成立50年，也是簽訂台灣關係法40週年，桃園市政府到美南格外有意義。他也以「守護民主 團結台灣」為主題進行演講，與僑胞分享台灣近期發展。鄭文燦表示，台灣是亞洲民主第一站，也是美國印太戰略中最佳的戰略夥伴，台灣除需國際的支持，內部更要有共識，才能走出自己的路。鄭文燦指出，現在是台灣在國際發揮的最佳時刻，台灣也走在正確的道路上，受到海內外僑界支持。第一次到美南的他希望，藉由這次的參訪，與德州各城市的台商、國會及政府部門有更深入的交流合作。鄭文燦隨後則受邀出席聖湯瑪士大學國際研究中心學者座談會，雙方針對美中貿易戰、台灣的角色以及城市治理等議題深入座談，國際研究中心主任史漢傑（Hans Stockton）、人文學院政治系助理教授吳達福（Christopher James Wolfe）、國際研究中心助理教授葉耀元等人也一同出席座談。鄭文燦中午在出席達拉斯同鄉會至休士頓參加活動時的午餐餐敘後，下午則前往美國國家航空暨太空總署（NASA）詹森太空中心進行參訪。鄭文燦說，位在德州的休士頓是美南第一大城，高科技產業和農業都相當發達，長榮航空也有直飛休士頓的航班，高載客率更代表兩地商務及物流往來密切。鄭文燦表示，這次訪問除了感受到在地商會與同鄉會的熱情，當地政府也盼望能進一步推動桃園與休士頓的交流，希望除了在美東及美西地區外，將來在美南地區也能有更多城市往來，促進台美雙邊關係。鄭文燦晚間則出席休士頓全僑歡迎晚會，他也在會中向僑胞說明，台灣現在所面臨的國際情勢及中美貿易後台灣的角色定位等議題，並與僑胞互相交換意見，拉近僑胞與桃園市的距離。（編輯：張銘坤）1080708,政治
